season,estaca,nido_id,ambiente,huevo,pichon,fecha_puesta,fecha_walkout
s10-11,200,1,,2,2,20/10/2010,4/1/2011
s10-11,200,2,,2,1,20/10/2010,4/1/2011
s10-11,200,3,,2,0,20/10/2010,4/1/2011
s10-11,200,4,,2,0,20/10/2010,4/1/2011
s10-11,200,5,,2,0,20/10/2010,4/1/2011
s10-11,200,6,,2,2,20/10/2010,4/1/2011
s10-11,200,7,,2,2,20/10/2010,4/1/2011
s10-11,200,8,,2,2,20/10/2010,4/1/2011
s10-11,200,9,,2,2,20/10/2010,4/1/2011
s10-11,200,10,,2,2,20/10/2010,4/1/2011
s10-11,200,11,,2,1,20/10/2010,4/1/2011
s10-11,200,12,,2,0,20/10/2010,4/1/2011
s10-11,200,13,,2,0,20/10/2010,4/1/2011
s10-11,200,14,,2,2,20/10/2010,4/1/2011
s10-11,200,15,,2,1,20/10/2010,4/1/2011
s10-11,200,16,,2,0,20/10/2010,4/1/2011
s10-11,200,17,,2,2,20/10/2010,4/1/2011
s10-11,200,18,,2,1,20/10/2010,4/1/2011
s10-11,200,20,,2,2,20/10/2010,4/1/2011
s10-11,300,1,,2,1,20/10/2010,4/1/2011
s10-11,300,2,,2,2,20/10/2010,4/1/2011
s10-11,300,3,,2,2,20/10/2010,4/1/2011
s10-11,300,4,,2,2,20/10/2010,4/1/2011
s10-11,300,5,,2,2,20/10/2010,4/1/2011
s10-11,300,6,,2,1,20/10/2010,4/1/2011
s10-11,300,7,,2,2,20/10/2010,4/1/2011
s10-11,300,8,,2,2,20/10/2010,4/1/2011
s10-11,300,9,,2,0,20/10/2010,4/1/2011
s10-11,300,10,,2,2,20/10/2010,4/1/2011
s10-11,300,11,,2,2,20/10/2010,4/1/2011
s10-11,300,12,,2,2,20/10/2010,4/1/2011
s10-11,300,13,,2,1,20/10/2010,4/1/2011
s10-11,400,1,,2,2,28/10/2010,1/1/2011
s10-11,400,2,,2,2,28/10/2010,1/1/2011
s10-11,400,3,,2,2,28/10/2010,1/1/2011
s10-11,400,4,,2,1,28/10/2010,1/1/2011
s10-11,400,5,,2,1,28/10/2010,1/1/2011
s10-11,400,6,,2,1,28/10/2010,1/1/2011
s10-11,400,7,,1,1,28/10/2010,1/1/2011
s10-11,400,8,,2,0,28/10/2010,1/1/2011
s10-11,400,9,,2,1,28/10/2010,1/1/2011
s10-11,400,10,,2,0,28/10/2010,1/1/2011
s10-11,400,11,,2,2,28/10/2010,1/1/2011
s10-11,400,12,,2,2,28/10/2010,1/1/2011
s10-11,400,13,,2,1,28/10/2010,1/1/2011
s10-11,400,14,,2,2,28/10/2010,1/1/2011
s10-11,400,15,,2,0,28/10/2010,1/1/2011
s10-11,400,16,,2,1,28/10/2010,1/1/2011
s10-11,400,17,,2,1,28/10/2010,1/1/2011
s10-11,400,20,,2,2,28/10/2010,1/1/2011
s10-11,500,1,,2,2,4/11/2010,4/1/2011
s10-11,500,2,,2,2,4/11/2010,4/1/2011
s10-11,500,3,,2,2,4/11/2010,4/1/2011
s10-11,500,4,,2,2,4/11/2010,4/1/2011
s10-11,500,5,,2,2,4/11/2010,4/1/2011
s10-11,500,6,,2,1,4/11/2010,4/1/2011
s10-11,500,7,,1,0,4/11/2010,4/1/2011
s10-11,500,8,,2,1,4/11/2010,4/1/2011
s10-11,500,9,,2,2,4/11/2010,4/1/2011
s10-11,500,10,,2,2,4/11/2010,4/1/2011
s10-11,500,11,,2,1,4/11/2010,4/1/2011
s10-11,500,12,,2,0,4/11/2010,4/1/2011
s10-11,500,13,,2,1,4/11/2010,4/1/2011
s10-11,500,14,,2,1,4/11/2010,4/1/2011
s10-11,500,15,,2,2,4/11/2010,4/1/2011
s10-11,500,16,,2,0,4/11/2010,4/1/2011
s10-11,500,17,,2,2,4/11/2010,4/1/2011
s10-11,500,18,,2,1,4/11/2010,4/1/2011
s10-11,500,19,,2,1,4/11/2010,4/1/2011
s10-11,500,20,,2,2,4/11/2010,4/1/2011
s10-11,600,1,,2,2,20/10/2010,4/1/2011
s10-11,600,2,,2,2,20/10/2010,4/1/2011
s10-11,600,4,,2,0,20/10/2010,4/1/2011
s10-11,600,5,,2,1,20/10/2010,4/1/2011
s10-11,600,6,,1,0,20/10/2010,4/1/2011
s10-11,600,7,,2,2,20/10/2010,4/1/2011
s10-11,600,8,,2,2,20/10/2010,4/1/2011
s10-11,600,9,,2,1,20/10/2010,4/1/2011
s10-11,600,10,,2,2,20/10/2010,4/1/2011
s10-11,600,11,,1,1,20/10/2010,4/1/2011
s10-11,600,12,,2,2,20/10/2010,4/1/2011
s10-11,600,13,,2,2,20/10/2010,4/1/2011
s10-11,600,14,,2,2,20/10/2010,4/1/2011
s10-11,600,15,,2,2,20/10/2010,4/1/2011
s10-11,600,16,,2,1,20/10/2010,4/1/2011
s10-11,600,17,,2,0,20/10/2010,4/1/2011
s10-11,600,19,,2,0,20/10/2010,4/1/2011
s10-11,600,20,,2,0,20/10/2010,4/1/2011
s11-12,200,1,,2,1,23/10/2011,31/12/2011
s11-12,200,2,,2,2,23/10/2011,31/12/2011
s11-12,200,3,,2,0,23/10/2011,31/12/2011
s11-12,200,4,,2,2,23/10/2011,31/12/2011
s11-12,200,5,,2,0,23/10/2011,31/12/2011
s11-12,200,6,,2,0,23/10/2011,31/12/2011
s11-12,200,7,,2,1,23/10/2011,31/12/2011
s11-12,200,8,,2,2,23/10/2011,31/12/2011
s11-12,200,9,,2,1,23/10/2011,31/12/2011
s11-12,200,10,,2,2,23/10/2011,31/12/2011
s11-12,200,11,,2,1,23/10/2011,31/12/2011
s11-12,200,12,,2,2,23/10/2011,31/12/2011
s11-12,200,13,,2,2,23/10/2011,31/12/2011
s11-12,200,14,,2,2,23/10/2011,31/12/2011
s11-12,200,15,,2,2,23/10/2011,31/12/2011
s11-12,200,16,,2,2,23/10/2011,31/12/2011
s11-12,200,17,,2,0,23/10/2011,31/12/2011
s11-12,200,18,,2,2,23/10/2011,31/12/2011
s11-12,200,19,,2,0,23/10/2011,31/12/2011
s11-12,200,20,,2,2,23/10/2011,31/12/2011
s11-12,300,1,,2,1,23/10/2011,31/12/2011
s11-12,300,2,,2,1,23/10/2011,31/12/2011
s11-12,300,3,,2,2,23/10/2011,31/12/2011
s11-12,300,4,,2,0,23/10/2011,31/12/2011
s11-12,300,5,,2,2,23/10/2011,31/12/2011
s11-12,300,7,,2,2,23/10/2011,31/12/2011
s11-12,300,8,,2,0,23/10/2011,31/12/2011
s11-12,300,9,,2,0,23/10/2011,31/12/2011
s11-12,300,10,,1,0,23/10/2011,31/12/2011
s11-12,300,11,,2,2,23/10/2011,31/12/2011
s11-12,300,13,,2,0,23/10/2011,31/12/2011
s11-12,300,14,,2,0,23/10/2011,31/12/2011
s11-12,400,1,,2,2,29/10/2011,31/12/2011
s11-12,400,2,,2,1,29/10/2011,31/12/2011
s11-12,400,3,,2,1,29/10/2011,31/12/2011
s11-12,400,4,,2,1,29/10/2011,31/12/2011
s11-12,400,5,,2,1,29/10/2011,31/12/2011
s11-12,400,6,,2,2,29/10/2011,31/12/2011
s11-12,400,7,,2,2,29/10/2011,31/12/2011
s11-12,400,8,,2,1,29/10/2011,31/12/2011
s11-12,400,9,,2,2,29/10/2011,31/12/2011
s11-12,400,10,,2,2,29/10/2011,31/12/2011
s11-12,400,11,,2,1,29/10/2011,31/12/2011
s11-12,400,12,,2,2,29/10/2011,31/12/2011
s11-12,400,13,,2,0,29/10/2011,31/12/2011
s11-12,400,14,,2,1,29/10/2011,31/12/2011
s11-12,400,15,,2,2,29/10/2011,31/12/2011
s11-12,400,16,,2,1,29/10/2011,31/12/2011
s11-12,400,17,,2,2,29/10/2011,31/12/2011
s11-12,400,19,,2,1,29/10/2011,31/12/2011
s11-12,500,1,,2,2,23/10/2011,26/12/2011
s11-12,500,2,,2,2,23/10/2011,26/12/2011
s11-12,500,3,,2,2,23/10/2011,26/12/2011
s11-12,500,4,,2,0,23/10/2011,26/12/2011
s11-12,500,5,,2,2,23/10/2011,26/12/2011
s11-12,500,6,,2,2,23/10/2011,26/12/2011
s11-12,500,7,,2,2,23/10/2011,26/12/2011
s11-12,500,8,,2,2,23/10/2011,26/12/2011
s11-12,500,9,,2,1,23/10/2011,26/12/2011
s11-12,500,10,,2,2,23/10/2011,26/12/2011
s11-12,500,11,,2,0,23/10/2011,26/12/2011
s11-12,500,12,,2,2,23/10/2011,26/12/2011
s11-12,500,13,,2,2,23/10/2011,26/12/2011
s11-12,500,14,,2,2,23/10/2011,26/12/2011
