"","season","estaca","nido_id","ambiente","huevo","pichon","fecha_puesta","fecha_walkout","ER","colname3","SST","Chla","SSTA","SAM"
"1","s10-11",200,1,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"2","s10-11",200,2,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"3","s10-11",200,3,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"4","s10-11",200,4,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"5","s10-11",200,5,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"6","s10-11",200,6,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"7","s10-11",200,7,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"8","s10-11",200,8,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"9","s10-11",200,9,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"10","s10-11",200,10,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"11","s10-11",200,11,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"12","s10-11",200,12,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"13","s10-11",200,13,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"14","s10-11",200,14,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"15","s10-11",200,15,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"16","s10-11",200,16,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"17","s10-11",200,17,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"18","s10-11",200,18,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"19","s10-11",200,20,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"20","s10-11",300,1,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"21","s10-11",300,2,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"22","s10-11",300,3,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"23","s10-11",300,4,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"24","s10-11",300,5,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"25","s10-11",300,6,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"26","s10-11",300,7,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"27","s10-11",300,8,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"28","s10-11",300,9,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"29","s10-11",300,10,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"30","s10-11",300,11,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"31","s10-11",300,12,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"32","s10-11",300,13,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"33","s10-11",400,1,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"34","s10-11",400,2,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"35","s10-11",400,3,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"36","s10-11",400,4,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"37","s10-11",400,5,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"38","s10-11",400,6,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"39","s10-11",400,7,NA,1,1,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"40","s10-11",400,8,NA,2,0,2010-10-28,2011-01-01,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"41","s10-11",400,9,NA,2,1,2010-10-28,2011-01-01,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"42","s10-11",400,10,NA,2,0,2010-10-28,2011-01-01,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"43","s10-11",400,11,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"44","s10-11",400,12,NA,2,2,2010-10-28,2011-01-01,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
