arroyo;fecha;hora;am_pm;pabs;temp;manejo
16;17/1/2018;10:26:17;AM;741,34;6,471;sin
16;17/1/2018;11:26:17;AM;741,23;6,674;sin
16;17/1/2018;12:26:17;PM;741,42;6,877;sin
16;17/1/2018;01:26:17;PM;741,5;6,877;sin
16;17/1/2018;02:26:17;PM;741,66;7,28;sin
16;17/1/2018;03:26:17;PM;741,86;7,882;sin
16;17/1/2018;04:26:17;PM;742,08;8,182;sin
16;17/1/2018;05:26:17;PM;742,97;7,983;sin
16;17/1/2018;06:26:17;PM;743,15;7,782;sin
16;17/1/2018;07:26:17;PM;743,5;7,582;sin
16;17/1/2018;08:26:17;PM;743,94;7,481;sin
16;17/1/2018;09:26:17;PM;744,26;7,179;sin
16;17/1/2018;10:26:17;PM;744,62;7,079;sin
16;17/1/2018;11:26:17;PM;744,35;6,877;sin
16;18/1/2018;12:26:17;AM;744,69;6,674;sin
16;18/1/2018;01:26:17;AM;744,54;6,674;sin
16;18/1/2018;02:26:17;AM;743,69;6,674;sin
16;18/1/2018;03:26:17;AM;743,13;6,573;sin
16;18/1/2018;04:26:17;AM;742,52;6,573;sin
16;18/1/2018;05:26:17;AM;742,19;6,471;sin
16;18/1/2018;06:26:17;AM;741,03;6,471;sin
16;18/1/2018;07:26:17;AM;740,55;6,37;sin
16;18/1/2018;08:26:17;AM;739,93;6,37;sin
16;18/1/2018;09:26:17;AM;739,34;6,471;sin
16;18/1/2018;10:26:17;AM;739,13;6,573;sin
16;18/1/2018;11:26:17;AM;739,01;6,775;sin
16;18/1/2018;12:26:17;PM;738,52;6,978;sin
16;18/1/2018;01:26:17;PM;738,14;8,082;sin
16;18/1/2018;02:26:17;PM;738,34;9,077;sin
16;18/1/2018;03:26:17;PM;738,91;9,571;sin
16;18/1/2018;04:26:17;PM;739,24;9,669;sin
16;18/1/2018;05:26:17;PM;739,4;9,373;sin
16;18/1/2018;06:26:17;PM;740,29;9,176;sin
16;18/1/2018;07:26:17;PM;741,53;8,879;sin
16;18/1/2018;08:26:17;PM;741,52;8,779;sin
16;18/1/2018;09:26:17;PM;742,15;8,481;sin
16;18/1/2018;10:26:17;PM;742,8;8,282;sin
16;18/1/2018;11:26:17;PM;743,22;8,082;sin
16;19/1/2018;12:26:17;AM;742,79;7,882;sin
